run,video,detector,conf,frame_index,time_s,count
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,95,475,21
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,96,480,21
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,97,485,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,98,490,9
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,99,495,15
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,100,500,18
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,101,505,19
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,102,510,13
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,103,515,11
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,104,520,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,105,525,14
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,106,530,12
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,107,535,16
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,108,540,13
"Incredible traffic Sound in Dhaka, Bangl|s14_yolov8s_joint_best","Incredible traffic Sound in Dhaka, Bangladesh। Rampura  [4K ASMR] #TheSoundofDhaka.mp4",s14_yolov8s_joint_best.pt,0.45,109,545,9
